IDN,CREATOR,TITLE,DATE,PUBLISHER,URN,ISBN,TYPE
1317305299,N/A,"Ach, Luise! : Fox-trot a. d. Lustspiel ""Bezauberndes Fräulein"" / Ralph Benatzky",2024,Leipzig,urn:nbn:de:101:1-2024013108183521182385,N/A,Online-Ressource
132827652X,"LeMarié, Antoine [Verlag] [Drucker]","[Actes de la conference tenue entre le sieur Evesque d' Evreux et le Sieur du Plessis, en presence du Roy à Fontaine-bleau le 4. de May 1600] ; Actes de la conference tenve entre le sievr Evesqve d' Evrevx et le Sieur du Plessis, en presence du Roy à Fontaine-bleau le 4. de May 1600 : Avec La Refutation du faux discours de la mesme Conference / Par Jacques Dauy Euesque d' Eureux",2024,Leipzig,N/A,N/A,Online-Ressource
1318228441,N/A,Actes médico-tecniques 1/2 (DCO D 1/2)- mis à jour 24 : ASSC (OrFo 2017) Cahier 6,2024,Zürich : Verlag Careum,N/A,"978-3-03904-459-7 : EUR 79.38 (DE), EUR 81.70 (AT), CHF 73.10, CHF 75.00 (freier Preis)",N/A
1318230217,N/A,Actes médico-tecniques 2/2 (DCO D 2/2)- mis à jour 24 : ASSC (OrFo 2017) Cahier 7,2024,Zürich : Verlag Careum,N/A,"978-3-03904-460-3 : EUR 105.00 (DE), EUR 108.00 (AT), CHF 88.69, CHF 91.00 (freier Preis)",N/A
1321642202,N/A,Action et Vérité : Guide d'Eveil Entrepreneurial / Cécile Tardy,2024,Norderstedt : BoD – Books on Demand – Frankreich,N/A,"978-2-322-52108-1 Paperback : EUR 20.30 (DE) (freier Preis), EUR 20.90 (AT) (freier Preis)",N/A
1333906153,N/A,"[Expositio de transitu veneris ante discum solis d. 23 Maii 1769] ; Ad avgvstissimam Rvssarivm omnivm imperatricem Catharinam II. Alexiewnam expositio de transitv veneris ante discvm solis d. 23 Maii, 1769, : ivssv illvstrissimi et excellebtissimi domini D. comitis Wolodimeri ab Orlow, illvstr. Academiae Scientiarvm directoris svscepta ... / avctore Christiano Mayer",2024,Leipzig,N/A,N/A,Online-Ressource
1314193236,N/A,"2024, 1 Borghi d'Italia",2024,N/A,N/A,N/A,N/A
1315171546,N/A,Adolf Dieckmann scheidet aus und führt das vom Sortiment abgetrennte Reisegeschäft u. d. F.: A. Dieckmann fort. Max Priber übernimmt das Sortiment. Kommission: Carl Fr. Fleischer. / Adolf Dieckmann. Max Priber,2024,Leipzig,urn:nbn:de:101:1-2405121119095.032044101370,N/A,Online-Ressource
1315417952,N/A,Adolf Schultze kauft die Buchhandlung aus der Konkursmasse und führt das Geschäft ab 1. April u. d. F.: E. Obertüschen's Buchhandlung (Adolf Schultze) fort. Kommission: Robert Hoffmann in Leipzig. / Adolf Schultze,2024,Leipzig,urn:nbn:de:101:1-2405261212496.339092239760,N/A,Online-Ressource
1328210502,"Mennens, Guilielmus [Mitwirkender]",Adriani Scorelii Batavi Poemata : Quorum catalogum auersa pagina inuenies ; Ad amplissimum virum D. Ioannem Scheyffvivm Brabantie Cancellarivm prudentissimum / Studio & opera Guilielmi Mennentii Antuerpiani correcta & in lucem edita. His adiecti sunt Cornelij Valerij Vltraiectini Triumphi,2024,Leipzig,N/A,N/A,Online-Ressource
1328224554,"Tabassum, Sartaj [Verfasser]","Advances and Prospects of 3-d Metal-Based Anticancer Drug Candidates / by Farukh Arjmand, Sartaj Tabassum, Huzaifa Yasir Khan",2024,"Singapore : Springer Nature Singapore, Imprint: Springer",urn:nbn:de:101:1-2405030417130.876210013348,978-981-97-0146-9,Online-Ressource
1333793308,N/A,"Aida, la princesse d'assouan / Jacky Jault",2024,Norderstedt : BoD – Books on Demand – Frankreich,N/A,"978-2-322-53970-3 Paperback : EUR 19.30 (DE) (freier Preis), EUR 19.90 (AT) (freier Preis)",N/A
1324567473,N/A,Albino Isaacsson wird Teilhaber in der Filiale Livraria Pelotense in Pelotas u. d. F.: R. Strauch & Comp. / R. Strauch,2024,Leipzig,urn:nbn:de:101:1-2406231305151.111153592026,N/A,Online-Ressource
1324573392,N/A,Alfred Kröner kauft den Buch- und Kunstverlag des verstorbenen Emil Strauß und führt ihn u. d. F. Emil Strauß Verlag A. Kröner in Stuttgart fort. Kommission: K. F. Koehler in Leipzig. / Alfred Kröner,2024,Leipzig,urn:nbn:de:101:1-2406231305304.848478844152,N/A,Online-Ressource
1325344613,"Baisch, Alexandra [Übersetzer]",[Le bureau d'éclaircissement des destins] ; All die gestohlenen Erinnerungen : Roman | Packend und berührend - der preisgekrönte Titel aus Frankreich / Gaëlle Nohant,2024,München : Piper,N/A,"978-3-492-07260-1 : EUR 24.00 (DE), EUR 24.70 (AT), CHF 32.50 (freier Preis)",N/A
1319588948,N/A,"Alla marcia : : Impromptu D-dur für Orgel, 1896 / Komponist: Henry Holden 1862-1953 Huss",2024,Niedernhausen : Noten Roehr,urn:nbn:de:101:1-2024021611585903824764,N/A,Online-Ressource
1334170452,N/A,Alle lieben Dr. d'Azzaro / Margaret McDonagh,2024,Hamburg : CORA Verlag,urn:nbn:de:101:1-2406270247330.394206619572,978-3-7515-2981-5,Online-Ressource
1317983947,N/A,Allegretto c-Moll D 915 : für Saxophone-Quintett / Franz Schubert,2024,Köln : Verlag Dohr,N/A,N/A,N/A
1325520594,N/A,"2024,247",2024,N/A,N/A,978-2-7574-4062-9,N/A
1308577397,"Hamm, Claudia [Übersetzer]",[D´autres vies que la mienne] ; Alles ist wahr / Emmanuel Carrère,2024,Berlin : Matthes & Seitz Berlin,N/A,"978-3-7518-4506-9 Broschur : circa EUR 16.00 (DE), circa EUR 16.50 (AT), circa CHF 21.50 (freier Preis)",N/A
1326472577,N/A,"Alles was'd brauchst das ist Liebe : All's was bruuchsch, Walzer, 401611-001 / Musik und Text: Ernst Jakober, Arrangeur: Klaus Rambacher",2024,Tettnang : Deine Blasmusik,N/A,EUR 44.90,N/A
1315036886,N/A,[Bd. 1.] / Kupf. Tit. v. H. Cöntgen,2024,N/A,N/A,N/A,Online-Ressource
1315036762,N/A,[Bd. 1.] / Kupf. Tit. v. H. Cöntgen,2024,N/A,N/A,N/A,Online-Ressource
1315036223,N/A,Nachtr.,2024,N/A,N/A,N/A,Online-Ressource
1315036088,N/A,Nachtr.,2024,N/A,N/A,N/A,Online-Ressource
1315036061,N/A,"Allgemeine Anweisung der neuesten Schönschreibkunst des Johann Gottfried Weber. Für d. Jugend hohen u. niederen Standes, desgl. f. andere Liebhaber eines schönen Feder u. f. Frauenzimmer : mit e. gedruckten Anweisung u. beigefügten Orthographie",2024,Leipzig,N/A,N/A,Online-Ressource
1328513564,N/A,[Histoire naturelle] ; Allgemeine Historie der Natur nach allen ihren besonderen Theilen abgehandelt : nebst e. Beschreibung d. Naturalienkammer Sr. Majestät d. Königes v. Frankreich : [T. 9 ff.: Aus d. Franz. mit Anm. u. Zusätzen] / [George Louis Leclerc Cte de Buffon],2024,Leipzig,N/A,N/A,Online-Ressource
1333699107,N/A,Theil 2. D-J,2024,N/A,N/A,N/A,Online-Ressource
1317348702,N/A,Als Erster quer durch Australien : Das Schicksal d. dt. Forschers Ludwig Leichhardt / Victor Helling. [Zeichngn: B. B. Thomas],2024,Leipzig,urn:nbn:de:101:1-2406160743401.013583164900,N/A,Online-Ressource
1317344464,N/A,"Als Schiffsjunge nach Punta Arenas : An Bord d. ""Baldur"" in südl. Breiten ; 168 Tage auf See / Heinrich Koch. [Zeichngn: Fritz Weber]",2024,Leipzig,urn:nbn:de:101:1-2406160742392.232079496312,N/A,Online-Ressource
1325507687,"Hofmann, Karin [Übersetzer]","Alte Kulturen : Eine Zeitreise in vergangene Welten. Einblicke in das Leben der alten Römer, Griechen und Ägypter. Mit eindrucksvollen Panorama-Bildern in 3-D. Für Kinder ab 7 Jahren / Justine Willis",2024,München : DK Verlag Dorling Kindersley,N/A,"978-3-8310-4944-8 Cover mit Folienveredelung : EUR 19.95 (DE), EUR 20.60 (AT)",N/A
1317348990,N/A,Am Gipfel des Nanga Parbat : Tatsachenbericht nach Aufzeichngn d. dt. Himalaya-Expedition / Wilhelm Kreuz. [Zeichngn: B. B. Thomas],2024,Leipzig,urn:nbn:de:101:1-2406160743455.615262335791,N/A,Online-Ressource
